,SQLDATE,Actor1Name,SOURCEURL,MonthYear,EventRootCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long
0,20160219,,http://www.pr.com/press-release/659143,201602,04,2.799999952316284,2,8.394747734069824,FR,46.0,2.0
1,20160229,,http://www.independent.com.mt/articles/2016-02-29/local-news/Public-Domain-Bill-an-unprecedented-message-of-public-empowerment-Jason-Azzopardi-6736154138,201602,01,3.4000000953674316,4,-0.4301075339317322,FR,46.0,2.0
2,20160501,,http://www.fijitimes.com/story.aspx?id=351956,201605,08,10.0,4,-1.09603340292275,FR,46.0,2.0
3,20160412,,http://www.dnaindia.com/money/report-police-raids-mossack-fonseca-s-headquarters-amid-panama-papers-leak-2201697,201604,13,-5.8,10,-9.09090909090908,FR,46.0,2.0
4,20160228,,http://investmentunderground.com/2016/02/two-more-zika-cases-reported-in-iowa/,201602,04,1.899999976158142,2,-5.949656963348389,FR,48.8667,2.33333
5,20160227,NIGER,http://cnbcafrica.com/news/western-africa/2014/05/19/us-reaches-agreement-with-nigeria-on-intelligence-sharing-(2)/,201602,04,1.899999976158142,1,3.2110092639923096,FR,48.8667,2.33333
6,20160226,FRENCH,http://www.cyprusreporter.com/newsdetail/Difficult-compromises-will-be-required-on-both-sides-in-Cyprus-French-Minister-of-State-tells-CNA-10762,201602,05,3.4000000953674316,2,-0.39040714502334595,FR,46.0,2.0
7,20160510,BANK,http://www.pambazuka.org/governance/africa-really-rising,201605,01,-0.1,2,-1.24069478908189,FR,48.8667,2.33333
8,20160209,AMERICAN,http://www.bitterwallet.com/france-is-restricting-facebook/90752,201602,03,5.199999809265137,2,1.294498324394226,FR,46.0,2.0
9,20160208,RUSSIA,http://www.nytimes.com/2016/02/14/books/review/the-good-death-when-breath-becomes-air-and-more.html,201602,01,-0.4000000059604645,2,-2.6666667461395264,FR,46.0,2.0
10,20160226,HUMAN RIGHTS GROUP,http://www.express.co.uk/news/uk/647900/Calais-Jungle-migrant-camp-eviction-bulldoze-tents,201602,13,-4.400000095367432,10,-6.732699871063232,FR,46.0,2.0
11,20160224,FRENCH,http://www.dhakatribune.com/world/2016/feb/24/refugee-arrivals-greece-exceed-100000-less-two-months,201602,17,-9.2,16,-7.90793616328303,FR,46.0,2.0
12,20160415,FRENCH,https://www.middleeastmonitor.com/20160405-is-france-xenophobic-about-its-veiled-muslim-women/,201604,07,8.3,6,-4.22535211267605,FR,46.0,2.0
13,20160208,HASSAN,http://en.trend.az/iran/business/2491783.html,201602,06,6.400000095367432,6,-5.063291072845459,FR,46.0,2.0
14,20160229,FRANCE,http://www.qrcodepress.com/li-fi-to-bring-light-speed-internet-100-times-faster-than-wi-fi/8531747/,201602,04,1.899999976158142,6,0.0,FR,46.0,2.0
15,20160221,SAUDI ARABIA,http://asian-defence-news.blogspot.com/2016/02/saudi-arabia-cancels-3b-aid-to-lebanon.html,201602,16,-5.6,6,-0.65789473684211,FR,46.0,2.0
16,20160225,FRANCE,http://www.tcj.com/excitement-returns/,201602,04,2.799999952316284,10,-0.6958250403404236,FR,46.0,2.0
17,20160424,FRANCE,http://www.bloomberg.com/news/articles/2016-04-24/emirates-antinori-says-declines-air-france-klm-ceo-position,201604,01,-0.1,7,0.393184796854525,FR,46.0,2.0
18,20160228,GOOGLE,http://ambienteja.info/2016/02/29/sanders-criticizes-trump-in-statement-on-sc-loss.html,201602,03,4.5,4,-1.872340440750122,FR,46.0,2.0
19,20160208,MUSLIM,http://classic.iol.co.za/news/south-africa/western-cape/mandla-mandela-s-muslim-wedding-pics-1.1981111,201602,04,1.899999976158142,24,6.266485214233398,FR,46.0,2.0
20,20160310,UNIONS,http://news.yahoo.com/french-government-says-open-labor-reform-tweaks-street-095212991--business.html,201603,13,-5.8,30,-4.36539925230999,FR,46.0,2.0
21,20160408,THE UN,http://presstv.ir/Detail/2016/04/05/459187/UN-peacekeepers-Central-African-Republic-trial/,201604,07,8.5,2,-7.88804071246819,FR,46.0,2.0
22,20160422,FRENCH,http://in.reuters.com/article/deals-day-idINL3N17O34P,201604,08,10.0,2,0.0,FR,46.0,2.0
